,0
598,positive
599,positive
600,positive
601,positive
602,positive
603,negative
604,positive
605,positive
606,positive
607,neutral
608,positive
609,neutral
610,positive
611,positive
612,positive
613,neutral
614,positive
615,neutral
616,neutral
617,positive
618,positive
619,neutral
620,positive
621,neutral
622,neutral
623,neutral
624,positive
625,neutral
626,positive
627,neutral
628,neutral
629,positive
630,neutral
631,positive
632,positive
633,neutral
634,neutral
635,neutral
636,positive
637,positive
638,negative
639,positive
640,positive
641,positive
642,positive
643,positive
644,positive
645,positive
646,positive
647,positive
648,positive
649,positive
650,positive
651,neutral
652,positive
653,positive
654,positive
655,positive
656,positive
657,positive
658,positive
659,positive
660,negative
661,negative
662,neutral
663,neutral
664,neutral
665,negative
666,neutral
667,neutral
668,neutral
669,negative
670,negative
671,negative
672,negative
673,negative
674,negative
675,negative
676,negative
677,negative
678,negative
679,negative
680,negative
681,negative
682,negative
683,negative
684,negative
685,neutral
686,negative
687,neutral
688,neutral
689,negative
690,neutral
691,neutral
692,positive
693,neutral
694,neutral
695,neutral
696,positive
697,positive
698,negative
699,negative
700,negative
701,positive
702,positive
703,positive
704,neutral
705,positive
706,positive
707,neutral
708,neutral
709,positive
710,neutral
711,positive
712,positive
713,neutral
714,negative
715,positive
716,negative
717,positive
718,negative
719,negative
720,positive
721,negative
722,positive
723,positive
724,positive
725,positive
726,neutral
727,positive
728,negative
729,positive
730,positive
731,negative
732,positive
733,negative
734,negative
735,neutral
736,negative
737,neutral
738,positive
739,positive
740,neutral
741,positive
742,positive
743,positive
744,neutral
745,positive
746,positive
747,positive
748,neutral
749,neutral
750,neutral
751,neutral
752,positive
753,neutral
754,positive
755,positive
756,neutral
757,positive
758,positive
759,neutral
760,neutral
761,neutral
762,positive
763,positive
764,positive
765,neutral
766,neutral
767,positive
768,positive
769,positive
770,neutral
771,positive
772,neutral
773,positive
774,positive
775,positive
776,positive
777,positive
778,positive
779,positive
780,neutral
781,positive
782,positive
783,positive
784,positive
785,positive
786,positive
787,positive
788,neutral
789,neutral
790,positive
791,positive
792,positive
793,negative
794,positive
795,positive
796,positive
797,neutral
798,positive
799,positive
800,neutral
801,positive
802,negative
803,positive
804,positive
805,positive
806,neutral
807,positive
808,positive
809,positive
810,positive
811,neutral
812,positive
813,positive
814,positive
815,neutral
816,neutral
817,positive
818,neutral
819,neutral
820,positive
821,neutral
822,neutral
823,positive
824,neutral
825,neutral
826,neutral
827,neutral
828,neutral
829,neutral
830,positive
831,positive
832,neutral
833,positive
834,positive
835,positive
836,neutral
837,positive
838,negative
839,positive
840,positive
841,positive
842,negative
843,positive
844,neutral
845,neutral
846,positive
847,positive
848,neutral
849,positive
850,neutral
851,positive
852,neutral
853,neutral
854,neutral
855,neutral
856,neutral
857,neutral
858,neutral
859,positive
860,positive
861,positive
862,positive
863,positive
864,positive
865,neutral
866,neutral
867,neutral
868,positive
869,neutral
870,neutral
871,positive
872,positive
873,neutral
874,neutral
875,positive
876,positive
877,neutral
878,neutral
879,negative
880,positive
881,neutral
882,neutral
883,positive
884,positive
885,positive
886,neutral
887,positive
888,positive
889,positive
890,positive
891,positive
892,positive
893,neutral
894,positive
895,positive
896,positive
897,positive
898,neutral
899,neutral
900,positive
901,positive
902,neutral
903,neutral
904,positive
905,neutral
906,positive
907,positive
908,positive
909,neutral
910,neutral
911,neutral
912,neutral
913,neutral
914,positive
915,neutral
916,neutral
917,positive
918,positive
919,neutral
920,neutral
921,neutral
922,positive
923,neutral
924,neutral
925,positive
926,positive
927,positive
928,positive
929,neutral
930,positive
931,positive
932,positive
933,positive
934,positive
935,positive
936,positive
937,positive
938,positive
939,positive
940,neutral
941,neutral
942,positive
943,neutral
944,neutral
945,positive
946,positive
947,positive
948,positive
949,neutral
950,positive
951,neutral
952,positive
953,neutral
954,positive
955,neutral
